userName,verified,itemName,brand,category,price,reviewTime,rating,summary,vote_level,new_ser_dev,ML_ITEM_NAME,Positive Phrases,Negative Phrases
Amazon Customer,TRUE,"Toblerone Swiss Milk Chocolate Bar, Crunchy Salted Almond, 3.52 Ounce",Toblerone,Prime_Pantry,1.63,1/1/18,5,Five Stars,1. Votes - 0,amazoncustomer,N,TBC,TBC
Carla,TRUE,"Prince of Peace Organic Tea, Oolong, 100 Tea Bags",Prince Of Peace,Grocery_and_Gourmet_Food,6.4,1/1/18,5,Five Stars,1. Votes - 0,carla,N,TBC,TBC
Jaclyn,TRUE,"Pet Champion Adjustable No-Pull Harness, Collar, Leash Matching Bundle Small, Medium, Large Dog",Pet Champion,Pet_Supplies,7.99,1/1/18,5,she has an odd shape chest and her pull over harness was not going over her big head so easy anymore. This harness finally adjusted to her size ...,1. Votes - 0,jaclyn,N,TBC,TBC
Christinne M,FALSE,"Koh-I-Noor Progresso Woodless Colored 24-Pencil Set, Assorted Colored Pencils (FA8758.24)",KOH-I-NOOR,Arts_Crafts_and_Sewing,14.18,1/1/18,5,Loving!!,1. Votes - 0,christinnem,N,TBC,TBC
patrick,TRUE,"Blue Buffalo Life Protection Formula Natural Puppy Dry Dog Food, Chicken and Brown Rice",Blue Buffalo,Pet_Supplies,28.99,1/1/18,5,... and has had no problems with this food - Beautiful coat and,1. Votes - 0,patrick,N,TBC,TBC
Craig S.,TRUE,Squishy Face Studio Flirt Pole V2 with Braided Fleece Lure - Durable Dog Toy for Fun Obedience Training &amp; Exercise,Squishy Face Studio,Pet_Supplies,31.38,1/1/18,3,I like the product,1. Votes - 0,craigs,N,TBC,TBC
Super Sanne,TRUE,Penn Plax Net Breeder for Aquarium,Penn Plax,Pet_Supplies,5.49,1/1/18,2,Not worth the money,1. Votes - 0,supersanne,N,TBC,TBC
Matthew Daviskavitch,TRUE,PetSafe Freedom Aluminum Patio Panel Sliding Glass Dog and Cat Door,PetSafe,Pet_Supplies,164.76,1/1/18,1,One Star,1. Votes - 0,matthewdaviskavitch,N,TBC,TBC
H.L.,TRUE,"Vet Recommended Pet ID Tag Dog and Cat Personalized | Many Shapes and Colors to Choose From! | MADE IN USA, Strong Anodized Aluminum",Vet Recommended ID Tags,Pet_Supplies,2.75,1/1/18,5,Five Stars,1. Votes - 0,hl,N,TBC,TBC
Dee,TRUE,"Avery Removable Print or Write Labels, 1.5 x 3 Inches, White, Pack of 150 (5440)",Avery,Office_Products,6.53,1/1/18,1,Doesnt stick,1. Votes - 0,dee,N,TBC,TBC
Mrs. Will,TRUE,"Rolodex Mesh Collection Spinning Desk Sorter, Black (1773083)",Rolodex,Office_Products,7.32,1/1/18,4,Four Stars,1. Votes - 0,mrswill,N,TBC,TBC
Daniel,TRUE,Cimo Slim Flexible TPU Cimo Shock Absorbing Case for LG Google Nexus 5X - Matte Blue,Cimo,Cell_Phones_and_Accessories,7.98,1/1/18,5,Slim and elegant,1. Votes - 0,daniel,N,TBC,TBC
Amazon Customer,TRUE,"ShearsDirect Japanese 440C 24 Tooth Chunker with Light Blue Gem Stone Tension and Anatomic Handle, 7.5-Inch",ShearsDirect,Pet_Supplies,73.53,1/1/18,5,Great chunkers,1. Votes - 0,amazoncustomer,N,TBC,TBC
Lauren M,TRUE,Bolbove Pet Red Snowflake Turtleneck Sweater for Small Dogs &amp; Cats Knitwear,Bolbove,Pet_Supplies,12.99,1/1/18,4,Cute sweater,1. Votes - 0,laurenm,N,TBC,TBC
Amazon Customer,TRUE,"Elk Antlers for Dogs (Large 7-9&quot;) Grade-A, Premium Antler Chews for Dogs. USA Product, Long Lasting Bully Stick",Heartland Antlers,Pet_Supplies,23.99,1/1/18,5,"All natural, no odor or mess!!",1. Votes - 0,amazoncustomer,N,TBC,TBC
Dan C,TRUE,API Master Test Kits,API,Pet_Supplies,14.95,1/1/18,5,to keep fish and plants happy then def need these,1. Votes - 0,danc,N,TBC,TBC
Andria,TRUE,"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count",BIC,Office_Products,2.18,1/1/18,5,Great pens,1. Votes - 0,andria,N,TBC,TBC
Kevin Pingers,TRUE,"BIC Round Stic Xtra Life Ballpoint Pen, Medium Point (1.0mm), Red, 12-Count",BIC,Office_Products,2.18,1/1/18,5,Five Stars,1. Votes - 0,kevinpingers,N,TBC,TBC
Dariela,TRUE,"Razer DeathAdder Expert - Optical Esports Ergonomic Professional-Grade Gaming Mouse - 6,400 Adjustible DPI",Razer,Video_Games,2.54,1/1/18,5,Great mouse,1. Votes - 0,dariela,N,TBC,TBC
SonoT_T,TRUE,Fashion's Talk Cat Toys Variety Pack for Kitty 20 Pieces,Fashion's Talk,Pet_Supplies,12.88,1/1/18,5,Good cheap cat toys,1. Votes - 0,sonot_t,N,TBC,TBC
A.B.C.,TRUE,"IRIS 6-Drawer Rolling Storage Cart with Organizer Top, Black","IRIS USA, Inc.",Office_Products,19.23,1/1/18,5,Five Stars,1. Votes - 0,abc,N,TBC,TBC
Betty&#039;s special orders,TRUE,goDog Furballz Durable Plush Dog Toy with Chew Guard Technology,goDog,Pet_Supplies,8.9,1/1/18,3,Be careful of who you buy it for.,1. Votes - 0,betty&#039;sspecialorders,N,TBC,TBC
Amazon Customer,TRUE,"Rubber Bands, Size 54, Assorted Length Sizes, 1lb Pack",Business Source,Office_Products,9.99,1/1/18,5,Good,1. Votes - 0,amazoncustomer,N,TBC,TBC
Amazon Customer,TRUE,School Smart Plastic Pencil Sharpener 24 pieces assorted colors,School Smart,Office_Products,4.28,1/1/18,5,Five Stars,1. Votes - 0,amazoncustomer,N,TBC,TBC
kjm,TRUE,JAM Paper Plastic Envelope with Button and String Tie Closure - Letter Booklet - 9 3/4&quot; x 13&quot; - Clear - 12/pack,JAM Paper,Office_Products,20.99,1/1/18,5,Variety of colors,1. Votes - 0,kjm,N,TBC,TBC
Cookies,TRUE,"iPhone 8 Plus, 7 Plus, 6S Plus, 6 Plus Screen Protector, amFilm Tempered Glass Screen Protector for Apple iPhone 8 Plus, 7 Plus, iPhone 6S Plus, 6 Plus [5.5&quot; inch] 2017, 2016, 2015 (2-Pack)",amFilm,Cell_Phones_and_Accessories,7.99,1/1/18,5,Five Stars,1. Votes - 0,cookies,N,TBC,TBC
Doctor and Mom,TRUE,"Blueberry Pet Classic Solid Color Dog Collar Collection - Regular Collars, Seatbelts, Personalized Collars and Bandana",Blueberry Pet,Pet_Supplies,8.99,1/1/18,5,Great product!,1. Votes - 0,doctorandmom,N,TBC,TBC
RS,TRUE,PetSafe Easy Walk Harness,PetSafe,Pet_Supplies,19.95,1/1/18,5,This makes walking the dog so much easier,1. Votes - 0,rs,N,TBC,TBC
KDude,TRUE,PetSafe Easy Walk Harness,PetSafe,Pet_Supplies,19.95,1/1/18,5,Power steering for my big brute!,1. Votes - 0,kdude,N,TBC,TBC
zelo222,TRUE,Lucky Line 64001 Retractable Key Chain- colors vary,Lucky Line,Office_Products,5.52,1/1/18,4,Four Stars,1. Votes - 0,zelo222,N,TBC,TBC
Rae G.,TRUE,The Original Elevated Pet Bed by Coolaroo,Coolaroo,Pet_Supplies,22.3,1/1/18,4,Adequate,1. Votes - 0,raeg,N,TBC,TBC
Amazon Customer,TRUE,The Original Elevated Pet Bed by Coolaroo,Coolaroo,Pet_Supplies,22.3,1/1/18,5,Great bed my Great Pyrenees mix loves it I got ...,1. Votes - 0,amazoncustomer,N,TBC,TBC
Dean Weber,TRUE,"Mad Dog 357 Ghost Pepper Hot Sauce, 5oz",Mad Dog 357,Grocery_and_Gourmet_Food,10.95,1/1/18,5,Five Stars,1. Votes - 0,deanweber,N,TBC,TBC
Margie Edwards,TRUE,Japanese Taro Mochi - 7.4 Oz / 210g,Royal Family,Grocery_and_Gourmet_Food,6.52,1/1/18,4,I was trying the flavor and I like this one,1. Votes - 0,margieedwards,N,TBC,TBC
Cindyc,TRUE,"Cleartex Ultimat Rectangular Chair Mat, Clear Polycarbonate, For Low &amp; Medium Pile Carpets (up to 1/2&quot;), Size 48&quot; x 53&quot; (FR1113423ER)",Floortex,Office_Products,100.5,1/1/18,1,Did Not Last Six Months !,1. Votes - 0,cindyc,N,TBC,TBC
Tara,TRUE,Kaytee Crittertrail Lazy Lookout Accessory Kit,Kaytee,Pet_Supplies,6.49,1/1/18,5,Like it,1. Votes - 0,tara,N,TBC,TBC
Chief,FALSE,"Anker 15W Dual USB Solar Charger, PowerPort Solar for iPhone 7 / 6s / Plus, iPad Pro/Air 2 / Mini, Galaxy S7 / S6 / Edge/Plus, Note 5/4, LG, Nexus, HTC and More",Anker,Cell_Phones_and_Accessories,39.99,1/1/18,4,Solid solid calharger,1. Votes - 0,chief,N,TBC,TBC
R F Barchiesi,TRUE,"Rocco &amp; Roxie Gourmet Jerky Dog Treats Made in USA - Slow Roasted, Delicious, Tender and Healthy 6&quot; Jerky Sticks Treat - Choose Beef, Chicken or Turkey - 16 oz. Bag",Rocco & Roxie Supply Co,Pet_Supplies,19.97,1/1/18,5,My German Shepherd's Favorite,1. Votes - 0,rfbarchiesi,N,TBC,TBC
Momma,TRUE,"Tekcoo Galaxy S5 Case, [Tmajor] Sturdy [Hot Pink/Black] Shock Absorbing Hybrid Rubber Plastic Impact Defender Rugged Slim Hard Case Cover Bumper for Samsung Galaxy S5 S V I9600 GS5 All Carriers",Tekcoo,Cell_Phones_and_Accessories,7.85,1/1/18,2,The loose rubbery edges near the top and bottom of ...,1. Votes - 0,momma,N,TBC,TBC
Chelsea,TRUE,"Ethical Pet Wide Durable Heavy Gauge Plastic Colorful Springs Cat Toy, 10 Count per Pack",Ethical Pet,Pet_Supplies,4.86,1/1/18,5,Kittens favorite toy!,1. Votes - 0,chelsea,N,TBC,TBC
